"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 02 00:56:23 GMT 2023","Thu Feb 02 00:56:23 GMT 2023","1","","getTableArray","","getTableArray","creates an array of table objects from the table map","creates an array of table objects from the table map","Creates a LSDJ table for triplet/sextuplets if a note has tuplets"
"passed","Thu Feb 02 00:56:22 GMT 2023","Thu Feb 02 00:56:22 GMT 2023","1","","getPhrasesForSection","","getPhrasesForSection","creates an array of phrases for a 12/8 time signature","creates an array of phrases for a 12/8 time signature",""
"passed","Thu Feb 02 00:56:24 GMT 2023","Thu Feb 02 00:56:24 GMT 2023","4","","setChainHexKeys","","setChainHexKeys","Updates the chains with a hexadecimal value representing the index in the chain map","Updates the chains with a hexadecimal value representing the index in the chain map",""
"passed","Thu Feb 02 00:56:27 GMT 2023","Thu Feb 02 00:56:27 GMT 2023","4","","setTableMapHexKeys","","setTableMapHexKeys","updates the table map to use hexadecimal keys based on the index of the table in the table map","updates the table map to use hexadecimal keys based on the index of the table in the table map",""
"passed","Thu Feb 02 00:56:23 GMT 2023","Thu Feb 02 00:56:23 GMT 2023","3","","getDeltaAsHex","","getDeltaAsHex","returns a positive delta as that delta added to 0 in hex","returns a positive delta as that delta added to 0 in hex","Creates hexadecimal value for transpose used in LSDJ table"
"passed","Thu Feb 02 00:56:24 GMT 2023","Thu Feb 02 00:56:24 GMT 2023","2","","Getting absolute notes for track","","Getting absolute notes for track","returns a key/value pair for notes at each 16th note in the track","returns a key/value pair for notes at each 16th note in the track",""
"passed","Thu Feb 02 00:56:23 GMT 2023","Thu Feb 02 00:56:23 GMT 2023","1","","getChainsAsMap","","getChainsAsMap","creates key value pair based on the base64 hash of the phrases in a chain","creates key value pair based on the base64 hash of the phrases in a chain",""
"passed","Thu Feb 02 00:56:24 GMT 2023","Thu Feb 02 00:56:24 GMT 2023","1","","getTrackEvents","","getTrackEvents","calculates the value of an eighth note based on the ticksPerBeat from track header data","calculates the value of an eighth note based on the ticksPerBeat from track header data",""
"passed","Thu Feb 02 00:56:22 GMT 2023","Thu Feb 02 00:56:22 GMT 2023","1","","getPhrasesForSection","","getPhrasesForSection","creates an array of phrases for a 6/8 time signature","creates an array of phrases for a 6/8 time signature",""
"passed","Thu Feb 02 00:56:25 GMT 2023","Thu Feb 02 00:56:25 GMT 2023","8","","processTables","","processTables","Creates a table array for triplets in the track phrases and sets the commands on the phrases","Creates a table array for triplets in the track phrases and sets the commands on the phrases",""
"passed","Thu Feb 02 00:56:22 GMT 2023","Thu Feb 02 00:56:22 GMT 2023","1","","getPhrasesNotesAsBase64","","getPhrasesNotesAsBase64","converts the list of notes and commands into a base64 string","converts the list of notes and commands into a base64 string",""
"passed","Thu Feb 02 00:56:22 GMT 2023","Thu Feb 02 00:56:22 GMT 2023","7","","getTrackSections","","getTrackSections","creates an array of sections for each time signature in the track","creates an array of sections for each time signature in the track",""
"passed","Thu Feb 02 00:56:25 GMT 2023","Thu Feb 02 00:56:25 GMT 2023","5","","setPhraseNoteTableId","","setPhraseNoteTableId","sets the Phrase note table id based on the note delta values in the triplets","sets the Phrase note table id based on the note delta values in the triplets",""
"passed","Thu Feb 02 00:56:23 GMT 2023","Thu Feb 02 00:56:23 GMT 2023","0","","getTableSteps","","getTableSteps","returns an empty array if no triplet/sextuplets found","returns an empty array if no triplet/sextuplets found","Doesn't create a table when not needed"
"passed","Thu Feb 02 00:56:22 GMT 2023","Thu Feb 02 00:56:22 GMT 2023","2","","getPhrasesForSection","","getPhrasesForSection","creates an array of phrases for a 4/4 time signature","creates an array of phrases for a 4/4 time signature",""
"passed","Thu Feb 02 00:56:27 GMT 2023","Thu Feb 02 00:56:27 GMT 2023","4","","processChains","","processChains","Creates an array of the chains in the track","Creates an array of the chains in the track",""
"passed","Thu Feb 02 00:56:23 GMT 2023","Thu Feb 02 00:56:23 GMT 2023","0","","getTableSteps","","getTableSteps","converts a sextuplet (3 notes) into a note every 4 steps","converts a sextuplet (3 notes) into a note every 4 steps","Creates LSDJ table steps for sextuplet"
"passed","Thu Feb 02 00:56:24 GMT 2023","Thu Feb 02 00:56:24 GMT 2023","0","","getTrackEvents","","getTrackEvents","defaults the value of an eighth note to 120","defaults the value of an eighth note to 120",""
"passed","Thu Feb 02 00:56:22 GMT 2023","Thu Feb 02 00:56:22 GMT 2023","1","","calculateTripletDelta","","calculateTripletDelta","compensates for the freq chart starting at F - ${name}","compensates for the freq chart starting at F - ${name}",""
"passed","Thu Feb 02 00:56:26 GMT 2023","Thu Feb 02 00:56:26 GMT 2023","4","","dedupePhrases","","dedupePhrases","uses the phrase map to build up an array of phrases and uses the hexadecimal value of the index for the key","uses the phrase map to build up an array of phrases and uses the hexadecimal value of the index for the key","Remove duplicate phrases from the phrase list and replace with pointer to existing phrase to save space and time inputting notes"
"passed","Thu Feb 02 00:56:23 GMT 2023","Thu Feb 02 00:56:23 GMT 2023","3","","getChainKey","","getChainKey","creates a base64 string from the list of phrase keys in the chain","creates a base64 string from the list of phrase keys in the chain",""
"passed","Thu Feb 02 00:56:22 GMT 2023","Thu Feb 02 00:56:22 GMT 2023","6","","getPhrasesForTrack","","getPhrasesForTrack","creates an array of LSDJ phrases for a track","creates an array of LSDJ phrases for a track",""
"passed","Thu Feb 02 00:56:27 GMT 2023","Thu Feb 02 00:56:27 GMT 2023","3","","getTripletKey","","getTripletKey","creates a base64 version of the notes in the triplet as a string","creates a base64 version of the notes in the triplet as a string",""
"passed","Thu Feb 02 00:56:23 GMT 2023","Thu Feb 02 00:56:23 GMT 2023","3","","getTableSteps","","getTableSteps","converts a triplet (1 note) into a note every 8 steps","converts a triplet (1 note) into a note every 8 steps","Creates LSDJ table steps for triplet"
"passed","Thu Feb 02 00:56:22 GMT 2023","Thu Feb 02 00:56:22 GMT 2023","1","","calculateTripletDelta","","calculateTripletDelta","returns the number of semi-tones between the root note and the triplet note","returns the number of semi-tones between the root note and the triplet note",""
